sample_id	species	explicit_country	country	farm_id	bio_rep	total_fragments	animal_group
1001-17-001	Pig	NL	F	1	1	32955753	Mammalian
1001-17-002	Pig	NL	F	1	2	27920183	Mammalian
1001-17-003	Pig	NL	F	1	3	32457805	Mammalian
1003-17-001	Pig	NL	F	3	1	63412648	Mammalian
1005-17-001	Pig	NL	F	5	1	60464980	Mammalian
1007-17-001	Pig	NL	F	7	1	70345556	Mammalian
1011-17-001	Pig	NL	F	11	1	87164824	Mammalian
1015-17-001	Pig	NL	F	15	1	57145467	Mammalian
1017-17-001	Pig	NL	F	17	1	59792746	Mammalian
1019-17-001	Pig	NL	F	19	1	93465891	Mammalian
1021-17-001	Pig	NL	F	21	1	69849424	Mammalian
1023-17-001	Pig	NL	F	23	1	93174697	Mammalian
1025-17-001	Pig	NL	F	25	1	72571950	Mammalian
1027-17-001	Pig	NL	F	27	1	70701839	Mammalian
1029-17-001	Pig	NL	F	29	1	29677205	Mammalian
1031-17-001	Pig	NL	F	31	1	33154442	Mammalian
1033-17-001	Pig	NL	F	33	1	46368704	Mammalian
1035-17-001	Pig	NL	F	35	1	43439769	Mammalian
1037-17-001	Pig	NL	F	37	1	55277838	Mammalian
1039-17-001	Pig	NL	F	39	1	29838807	Mammalian
1041-17-001	Pig	NL	F	41	1	70935881	Mammalian
1043-17-001	Pig	NL	F	43	1	36826204	Mammalian
2001-17-001	Pig	DE	B	1	1	31457617	Mammalian
2002-17-001	Pig	DE	B	2	1	36791521	Mammalian
2003-17-001	Pig	DE	B	3	1	26137595	Mammalian
2004-17-001	Pig	DE	B	4	1	62165755	Mammalian
2005-17-001	Pig	DE	B	5	1	25980653	Mammalian
2006-17-001	Pig	DE	B	6	1	68013218	Mammalian
2007-17-001	Pig	DE	B	7	1	58684643	Mammalian
2008-17-001	Pig	DE	B	8	1	45290721	Mammalian
2009-17-001	Pig	DE	B	9	1	72173875	Mammalian
2010-17-001	Pig	DE	B	10	1	33032536	Mammalian
2011-17-001	Pig	DE	B	11	1	44283824	Mammalian
2012-17-001	Pig	DE	B	12	1	31233944	Mammalian
2013-17-001	Pig	DE	B	13	1	14235470	Mammalian
2014-17-001	Pig	DE	B	14	1	72740008	Mammalian
2015-17-001	Pig	DE	B	15	1	33522517	Mammalian
2016-17-001	Pig	DE	B	16	1	3292669	Mammalian
2017-17-001	Pig	DE	B	17	1	20210914	Mammalian
2018-17-001	Pig	DE	B	18	1	42784679	Mammalian
2019-17-001	Pig	DE	B	19	1	36873332	Mammalian
2020-17-001	Pig	DE	B	20	1	51350521	Mammalian
3201-17-001	Pig	FR	E	201	1	44836302	Mammalian
3202-17-001	Pig	FR	E	202	1	22627288	Mammalian
3203-17-001	Pig	FR	E	203	1	32854603	Mammalian
3204-17-001	Pig	FR	E	204	1	51688216	Mammalian
3205-17-001	Pig	FR	E	205	1	6583319	Mammalian
3206-17-001	Pig	FR	E	206	1	38841819	Mammalian
3207-17-001	Pig	FR	E	207	1	33227812	Mammalian
3208-17-001	Pig	FR	E	208	1	50335522	Mammalian
3209-17-002	Pig	FR	E	209	2	29627194	Mammalian
3210-17-001	Pig	FR	E	210	1	64823379	Mammalian
3211-17-001	Pig	FR	E	211	1	11920343	Mammalian
3212-17-001	Pig	FR	E	212	1	31497818	Mammalian
3213-17-001	Pig	FR	E	213	1	31225918	Mammalian
3214-17-001	Pig	FR	E	214	1	14584530	Mammalian
3215-17-001	Pig	FR	E	215	1	34731713	Mammalian
3216-17-001	Pig	FR	E	216	1	38293061	Mammalian
3217-17-001	Pig	FR	E	217	1	51009267	Mammalian
3218-17-001	Pig	FR	E	218	1	38061120	Mammalian
3219-17-001	Pig	FR	E	219	1	48498291	Mammalian
3220-17-001	Pig	FR	E	220	1	44388966	Mammalian
4001-17-001	Pig	ES	H	1	1	55050560	Mammalian
4002-17-001	Pig	ES	H	2	1	38116204	Mammalian
4007-17-001	Pig	ES	H	7	1	34961511	Mammalian
4014-17-001	Pig	ES	H	14	1	35897720	Mammalian
4023-17-001	Pig	ES	H	23	1	50417190	Mammalian
4024-17-001	Pig	ES	H	24	1	51373662	Mammalian
4025-17-001	Pig	ES	H	25	1	43191417	Mammalian
4026-17-001	Pig	ES	H	26	1	58412115	Mammalian
4028-17-001	Pig	ES	H	28	1	42034786	Mammalian
4029-17-001	Pig	ES	H	29	1	32536605	Mammalian
4030-17-001	Pig	ES	H	30	1	37424686	Mammalian
4031-17-001	Pig	ES	H	31	1	52909761	Mammalian
4032-17-001	Pig	ES	H	32	1	39371170	Mammalian
4033-17-001	Pig	ES	H	33	1	41666981	Mammalian
4034-17-001	Pig	ES	H	34	1	34978684	Mammalian
4035-17-001	Pig	ES	H	35	1	42159687	Mammalian
4036-17-001	Pig	ES	H	36	1	39077041	Mammalian
4037-17-001	Pig	ES	H	37	1	58907848	Mammalian
4038-17-001	Pig	ES	H	38	1	46663231	Mammalian
4039-17-001	Pig	ES	H	39	1	28521520	Mammalian
5001-17-001	Pig	BE	A	1	1	29569166	Mammalian
5001-17-002	Pig	BE	A	1	2	29687748	Mammalian
5001-17-003	Pig	BE	A	1	3	30458620	Mammalian
5004-17-001	Pig	BE	A	4	1	47706788	Mammalian
5007-17-001	Pig	BE	A	7	1	45479873	Mammalian
5008-17-001	Pig	BE	A	8	1	85954589	Mammalian
5011-17-001	Pig	BE	A	11	1	65661911	Mammalian
5012-17-001	Pig	BE	A	12	1	96908052	Mammalian
5015-17-001	Pig	BE	A	15	1	71838091	Mammalian
5019-17-001	Pig	BE	A	19	1	80512391	Mammalian
5025-17-001	Pig	BE	A	25	1	51073723	Mammalian
5026-17-001	Pig	BE	A	26	1	82319988	Mammalian
5027-17-001	Pig	BE	A	27	1	78047697	Mammalian
5028-17-001	Pig	BE	A	28	1	79694533	Mammalian
5029-17-001	Pig	BE	A	29	1	44372291	Mammalian
5031-17-001	Pig	BE	A	31	1	34434217	Mammalian
5032-17-001	Pig	BE	A	32	1	37874306	Mammalian
5035-17-001	Pig	BE	A	35	1	28306195	Mammalian
5036-17-001	Pig	BE	A	36	1	30134127	Mammalian
5037-17-001	Pig	BE	A	37	1	22244936	Mammalian
5040-17-001	Pig	BE	A	40	1	24334941	Mammalian
5041-17-001	Pig	BE	A	41	1	33081807	Mammalian
6001-17-001	Pig	IT	D	1	1	71265376	Mammalian
6004-17-001	Pig	IT	D	4	1	45318970	Mammalian
6005-17-001	Pig	IT	D	5	1	53435545	Mammalian
6006-17-001	Pig	IT	D	6	1	51696267	Mammalian
6007-17-001	Pig	IT	D	7	1	28783642	Mammalian
6008-17-001	Pig	IT	D	8	1	56851847	Mammalian
6009-17-001	Pig	IT	D	9	1	31920970	Mammalian
6010-17-001	Pig	IT	D	10	1	68253475	Mammalian
6011-17-001	Pig	IT	D	11	1	54289841	Mammalian
6012-17-001	Pig	IT	D	12	1	47950613	Mammalian
6013-17-001	Pig	IT	D	13	1	59774928	Mammalian
6014-17-001	Pig	IT	D	14	1	62723018	Mammalian
6015-17-001	Pig	IT	D	15	1	69520710	Mammalian
6016-17-001	Pig	IT	D	16	1	95302005	Mammalian
6017-17-001	Pig	IT	D	17	1	28965997	Mammalian
6018-17-001	Pig	IT	D	18	1	33941690	Mammalian
6019-17-001	Pig	IT	D	19	1	30630657	Mammalian
6020-17-001	Pig	IT	D	20	1	30001528	Mammalian
6021-17-001	Pig	IT	D	21	1	31417930	Mammalian
6022-17-001	Pig	IT	D	22	1	38247492	Mammalian
7001-17-001	Pig	PL	G	1	1	62623193	Mammalian
7002-17-001	Pig	PL	G	2	1	56002891	Mammalian
7003-17-001	Pig	PL	G	3	1	73503579	Mammalian
7004-17-001	Pig	PL	G	4	1	88975372	Mammalian
7005-17-001	Pig	PL	G	5	1	55920748	Mammalian
7006-17-001	Pig	PL	G	6	1	52562679	Mammalian
7007-17-001	Pig	PL	G	7	1	55529983	Mammalian
7008-17-001	Pig	PL	G	8	1	66161905	Mammalian
7009-17-001	Pig	PL	G	9	1	71481897	Mammalian
7010-17-001	Pig	PL	G	10	1	65538784	Mammalian
7011-17-001	Pig	PL	G	11	1	49554675	Mammalian
7012-17-001	Pig	PL	G	12	1	33106750	Mammalian
7013-17-001	Pig	PL	G	13	1	34538094	Mammalian
7014-17-001	Pig	PL	G	14	1	31511928	Mammalian
7015-17-001	Pig	PL	G	15	1	34317735	Mammalian
7016-17-001	Pig	PL	G	16	1	33399747	Mammalian
7017-17-001	Pig	PL	G	17	1	31732147	Mammalian
7018-17-001	Pig	PL	G	18	1	33127780	Mammalian
7019-17-001	Pig	PL	G	19	1	45382039	Mammalian
7020-17-001	Pig	PL	G	20	1	42657024	Mammalian
8002-17-001	Pig	DK	C	2	1	34695312	Mammalian
8004-17-001	Pig	DK	C	4	1	39382394	Mammalian
8006-17-001	Pig	DK	C	6	1	27114244	Mammalian
8008-17-001	Pig	DK	C	8	1	34417793	Mammalian
8010-17-001	Pig	DK	C	10	1	57181198	Mammalian
8012-17-001	Pig	DK	C	12	1	50277793	Mammalian
8014-17-001	Pig	DK	C	14	1	57116485	Mammalian
8016-17-001	Pig	DK	C	16	1	31005601	Mammalian
