gene_id	amr_class	munk2018_amr_group	new_amr_group	gene_length_bp	short_gene
sul1_15_EF667294	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_15
blaOXA-193_1_CP013032	Beta-Lactam	Beta-Lactam	Beta-Lactam	774	blaOXA-193_1
blaIMP-63_1_KX821663	Beta-Lactam	Beta-Lactam	Beta-Lactam	741	blaIMP-63_1
VanG2XY_1_FJ872410	Vancomycin	Other	Vancomycin	1811	VanG2XY_1
tet(Q)_1_L33696	Tetracycline	Tetracycline	Tetracycline	1926	tet(Q)_1
cfr(C)_2_CANB01000378	Phenicol	Phenicol	Phenicol	1251	cfr(C)_2
mef(A)_2_U83667	Macrolide	Macrolide	Macrolide	1218	mef(A)_2
aac(6_)-Ib-Hangzhou_1_FJ503047	Aminoglycoside	Aminoglycoside	Aminoglycoside	519	aac(6_)-Ib-Hangzhou_1
tet(O/W)_5_AM889122	Tetracycline	Tetracycline	Tetracycline	1889	tet(O/W)_5
erm(G)_1_M15332	Macrolide	Macrolide	Macrolide	735	erm(G)_1
erm(Q)_1_L22689	Macrolide	Macrolide	Macrolide	774	erm(Q)_1
erm(C)_16_AF019140	Macrolide	Macrolide	Macrolide	735	erm(C)_16
tet(44)_2_FN594949	Tetracycline	Tetracycline	Tetracycline	1923	tet(44)_2
erm(B)_12_U18931	Macrolide	Macrolide	Macrolide	738	erm(B)_12
msr(D)_3_AF227520	Macrolide	Macrolide	Macrolide	1464	msr(D)_3
tet(W)_4_FN396364	Tetracycline	Tetracycline	Tetracycline	1920	tet(W)_4
blaACI-1_1_AJ007350	Beta-Lactam	Beta-Lactam	Beta-Lactam	855	blaACI-1_1
nimJ_1_NZ_JH815495	Nitroimidazole	Other	Other	498	nimJ_1_NZ
tet(32)_1_EU722333	Tetracycline	Tetracycline	Tetracycline	1920	tet(32)_1
tet(L)_2_M29725	Tetracycline	Tetracycline	Tetracycline	1377	tet(L)_2
mef(A)_1_AJ971089	Macrolide	Macrolide	Macrolide	1218	mef(A)_1
tet(40)_1_FJ158002	Tetracycline	Tetracycline	Tetracycline	1221	tet(40)_1
lnu(C)_1_AY928180	Macrolide	Macrolide	Macrolide	495	lnu(C)_1
tet(O/W)-2_1_AY485122	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/W)-2_1
blaTEM-141_1_AY956335	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-141_1
rmtF_1_JQ808129	Aminoglycoside	Aminoglycoside	Aminoglycoside	780	rmtF_1
tetA(P)_2_L20800	Tetracycline	Tetracycline	Tetracycline	1263	tetA(P)_2
tet(32)_2_EF626943	Tetracycline	Tetracycline	Tetracycline	1920	tet(32)_2
cfxA5_1_AY769934	Beta-Lactam	Beta-Lactam	Beta-Lactam	966	cfxA5_1
ant(6)-Ia_2_KF421157	Aminoglycoside	Aminoglycoside	Aminoglycoside	864	ant(6)-Ia_2
erm(F)_3_M17808	Macrolide	Macrolide	Macrolide	801	erm(F)_3
ant(6)-Ia_1_AF330699	Aminoglycoside	Aminoglycoside	Aminoglycoside	909	ant(6)-Ia_1
aph(3_)-III_1_M26832	Aminoglycoside	Aminoglycoside	Aminoglycoside	795	aph(3_)-III_1
tet(44)_1_NZ_ABDU01000081	Tetracycline	Tetracycline	Tetracycline	1923	tet(44)_1_NZ
tet(X)_2_M37699	Tetracycline	Tetracycline	Tetracycline	1167	tet(X)_2
tet(O/32/O)_1_JQ740052	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/32/O)_1
cfxA2_1_AF504914	Beta-Lactam	Beta-Lactam	Beta-Lactam	966	cfxA2_1
cfxA_1_U38243	Beta-Lactam	Beta-Lactam	Beta-Lactam	966	cfxA_1
tet(Q)_2_X58717	Tetracycline	Tetracycline	Tetracycline	1926	tet(Q)_2
tet(O/W)_3_AM889120	Tetracycline	Tetracycline	Tetracycline	1889	tet(O/W)_3
tet(Q)_4_Z21523	Tetracycline	Tetracycline	Tetracycline	1926	tet(Q)_4
tet(W)_2_AY049983	Tetracycline	Tetracycline	Tetracycline	1920	tet(W)_2
tet(W/32/O)_3_AM710603	Tetracycline	Tetracycline	Tetracycline	1920	tet(W/32/O)_3
cfxA6_1_GQ342996	Beta-Lactam	Beta-Lactam	Beta-Lactam	996	cfxA6_1
tet(M)_10_EU182585	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_10
tet(O)_2_M20925	Tetracycline	Tetracycline	Tetracycline	1920	tet(O)_2
tet(40)_2_AM419751	Tetracycline	Tetracycline	Tetracycline	1221	tet(40)_2
lsa(E)_1_JX560992	Macrolide	Macrolide	Macrolide	1485	lsa(E)_1
msr(D)_2_AF274302	Macrolide	Macrolide	Macrolide	1464	msr(D)_2
mef(A)_3_AF227520	Macrolide	Macrolide	Macrolide	1218	mef(A)_3
tet(O/32/O)_4_AIOQ01000025	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/32/O)_4
tet(Q)_3_U73497	Tetracycline	Tetracycline	Tetracycline	1965	tet(Q)_3
erm(B)_23_X72021	Macrolide	Macrolide	Macrolide	738	erm(B)_23
tet(O/W)_4_AM889121	Tetracycline	Tetracycline	Tetracycline	1889	tet(O/W)_4
erm(G)_2_L42817	Macrolide	Macrolide	Macrolide	735	erm(G)_2
aph(2__)-If_2_AY701528	Aminoglycoside	Aminoglycoside	Aminoglycoside	894	aph(2__)-If_2
lnu(P)_1_FJ589781	Macrolide	Macrolide	Macrolide	501	lnu(P)_1
tetB(P)_1_NC_010937	Tetracycline	Tetracycline	Tetracycline	1959	tetB(P)_1_NC
tet(O/32/O)_3_NZ_AUJS01000017	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/32/O)_3_NZ
ant(6)-Ia_3_KF864551	Aminoglycoside	Aminoglycoside	Aminoglycoside	867	ant(6)-Ia_3
tet(O)_1_M18896	Tetracycline	Tetracycline	Tetracycline	1920	tet(O)_1
tet(O/32/O)_5_FP929050	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/32/O)_5
nimB_1_X71443	Nitroimidazole	Other	Other	495	nimB_1
mef(A)_4_HG423652	Macrolide	Macrolide	Macrolide	1218	mef(A)_4
blaOXA-233_1_KJ657570	Beta-Lactam	Beta-Lactam	Beta-Lactam	801	blaOXA-233_1
tet(O)_3_Y07780	Tetracycline	Tetracycline	Tetracycline	1920	tet(O)_3
tet(W/32/O)_1_AM710601	Tetracycline	Tetracycline	Tetracycline	1920	tet(W/32/O)_1
tet(X)_1_GU014535	Tetracycline	Tetracycline	Tetracycline	1167	tet(X)_1
tet(O/W/32/O)_5_JQ740053	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/W/32/O)_5
ant(6)-Ib_1_FN594949	Aminoglycoside	Aminoglycoside	Aminoglycoside	858	ant(6)-Ib_1
tet(W)_5_AJ427422	Tetracycline	Tetracycline	Tetracycline	1920	tet(W)_5
cfxA3_1_AF472622	Beta-Lactam	Beta-Lactam	Beta-Lactam	966	cfxA3_1
blaOXA-451_1_KR061504	Beta-Lactam	Beta-Lactam	Beta-Lactam	774	blaOXA-451_1
lnu(B)_2_JQ861959	Macrolide	Macrolide	Macrolide	804	lnu(B)_2
tet(O/W/O)-1_1_AY196921	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/W/O)-1_1
erm(B)_1_JN899585	Macrolide	Macrolide	Macrolide	738	erm(B)_1
tet(M)_13_AM990992	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_13
erm(B)_18_X66468	Macrolide	Macrolide	Macrolide	762	erm(B)_18
poxtA_1_MF095097	Oxazolidinone	Other	Other	1629	poxtA_1
vat(E)_5_AJ488494	Macrolide	Macrolide	Macrolide	645	vat(E)_5
lsa(B)_1_AJ579365	Macrolide	Macrolide	Macrolide	1479	lsa(B)_1
tetA(P)_1_AB054980	Tetracycline	Tetracycline	Tetracycline	1263	tetA(P)_1
cat_2_M35190	Phenicol	Phenicol	Phenicol	624	cat_2
sul1_26_AY524415	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_26
aac(6_)-Iae_1_AB104852	Aminoglycoside	Aminoglycoside	Aminoglycoside	552	aac(6_)-Iae_1
blaPEDO-2_1_KP109678	Beta-Lactam	Beta-Lactam	Beta-Lactam	858	blaPEDO-2_1
tet(C)_2_AY046276	Tetracycline	Tetracycline	Tetracycline	1176	tet(C)_2
lnu(A)_1_M14039	Macrolide	Macrolide	Macrolide	486	lnu(A)_1
tet(W/32/O)_2_AM710602	Tetracycline	Tetracycline	Tetracycline	1920	tet(W/32/O)_2
sul2_19_AJ319822	Sulphonamide	Sulphonamide	Sulphonamide	816	sul2_19
ant(3__)-Ia_1_X02340	Aminoglycoside	Aminoglycoside	Aminoglycoside	972	ant(3__)-Ia_1
str_1_X92946	Aminoglycoside	Aminoglycoside	Aminoglycoside	849	str_1
nimC_1_X76948	Nitroimidazole	Other	Other	492	nimC_1
cat(pC194)_1_NC_002013	Phenicol	Phenicol	Phenicol	651	cat(pC194)_1_NC
tet(O/W)_2_AM889119	Tetracycline	Tetracycline	Tetracycline	1889	tet(O/W)_2
aac(6_)-Im_1_AF337947	Aminoglycoside	Aminoglycoside	Aminoglycoside	537	aac(6_)-Im_1
erm(B)_6_AF242872	Macrolide	Macrolide	Macrolide	747	erm(B)_6
tet(O/32/O)_2_AJ295238	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/32/O)_2
blaOXA-85_1_JANA01000064	Beta-Lactam	Beta-Lactam	Beta-Lactam	786	blaOXA-85_1
aph(6)-Id_1_M28829	Aminoglycoside	Aminoglycoside	Aminoglycoside	837	aph(6)-Id_1
mecA2_2_AB546780	Beta-Lactam	Beta-Lactam	Beta-Lactam	2007	mecA2_2
sul1_11_DQ914960	Sulphonamide	Sulphonamide	Sulphonamide	882	sul1_11
cfr(C)_1_KX686749	Phenicol	Phenicol	Phenicol	1140	cfr(C)_1
erm(T)_1_M64090	Macrolide	Macrolide	Macrolide	735	erm(T)_1
tet(Z)_1_AF121000	Tetracycline	Tetracycline	Tetracycline	1155	tet(Z)_1
VanHBX_1_AF192329	Vancomycin	Other	Vancomycin	2607	VanHBX_1
aph(2__)-Ih_1_KF652096	Aminoglycoside	Aminoglycoside	Aminoglycoside	894	aph(2__)-Ih_1
tet(L)_1_HM235948	Tetracycline	Tetracycline	Tetracycline	1383	tet(L)_1
aph(3__)-Ib_5_AF321551	Aminoglycoside	Aminoglycoside	Aminoglycoside	804	aph(3__)-Ib_5
aadA17_1_FJ460181	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA17_1
aph(3_)-Ia_1_V00359	Aminoglycoside	Aminoglycoside	Aminoglycoside	816	aph(3_)-Ia_1
vat(E)_7_AY043211	Macrolide	Macrolide	Macrolide	645	vat(E)_7
dfrD_1_Z50141	Trimethoprim	Trimethoprim	Trimethoprim	489	dfrD_1
lnu(G)_1_KX470419	Macrolide	Macrolide	Macrolide	804	lnu(G)_1
aph(4)-Ia_1_V01499	Aminoglycoside	Aminoglycoside	Aminoglycoside	1026	aph(4)-Ia_1
blaTEM-1B_1_AY458016	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-1B_1
sul2_9_FJ197818	Sulphonamide	Sulphonamide	Sulphonamide	852	sul2_9
tet(K)_1_U38656	Tetracycline	Tetracycline	Tetracycline	1380	tet(K)_1
aac(6_)-aph(2__)_1_M13771	Aminoglycoside	Aminoglycoside	Aminoglycoside	1440	aac(6_)-aph(2__)_1
sul1_2_U12338	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_2
blaOXA-347_1_ACWG01000053	Beta-Lactam	Beta-Lactam	Beta-Lactam	825	blaOXA-347_1
erm(B)_15_U48430	Macrolide	Macrolide	Macrolide	753	erm(B)_15
msr(A)_1_X52085	Macrolide	Macrolide	Macrolide	1467	msr(A)_1
tet(A)_4_AJ517790	Tetracycline	Tetracycline	Tetracycline	1200	tet(A)_4
tet(33)_1_AY255627	Tetracycline	Tetracycline	Tetracycline	1224	tet(33)_1
ant(9)-Ia_1_X02588	Aminoglycoside	Aminoglycoside	Aminoglycoside	783	ant(9)-Ia_1
tet(33)_2_DQ390458	Tetracycline	Tetracycline	Tetracycline	1224	tet(33)_2
aph(2__)-Ib_2_AF207840	Aminoglycoside	Aminoglycoside	Aminoglycoside	900	aph(2__)-Ib_2
dfrA14_1_KF921535	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA14_1
aadA1_4_JQ480156	Aminoglycoside	Aminoglycoside	Aminoglycoside	789	aadA1_4
dfrA1_10_AF203818	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA1_10
cat_3_S48276	Phenicol	Phenicol	Phenicol	651	cat_3
mdf(A)_1_Y08743	Macrolide	Macrolide	Macrolide	1233	mdf(A)_1
tet(A)_6_AF534183	Tetracycline	Tetracycline	Tetracycline	1275	tet(A)_6
mph(B)_1_D85892	Macrolide	Macrolide	Macrolide	909	mph(B)_1
dfrK_1_FN377602	Trimethoprim	Trimethoprim	Trimethoprim	492	dfrK_1
blaVIM-48_1_KY362199	Beta-Lactam	Beta-Lactam	Beta-Lactam	810	blaVIM-48_1
dfrA14_4_AF393510	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA14_4
dfrA1_5_EU089668	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA1_5
sul2_6_FN995456	Sulphonamide	Sulphonamide	Sulphonamide	816	sul2_6
blaZ_26_JBJP01000007	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_26
aadA2_1_NC_010870	Aminoglycoside	Aminoglycoside	Aminoglycoside	819	aadA2_1_NC
sul2_3_HQ840942	Sulphonamide	Sulphonamide	Sulphonamide	816	sul2_3
erm(T)_2_AY894138	Macrolide	Macrolide	Macrolide	735	erm(T)_2
erm(B)_10_U86375	Macrolide	Macrolide	Macrolide	738	erm(B)_10
sul1_5_EU780013	Sulphonamide	Sulphonamide	Sulphonamide	867	sul1_5
erm(X)_3_U21300	Macrolide	Macrolide	Macrolide	762	erm(X)_3
blaTEM-135_1_GQ896333	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-135_1
lsa(A)_1_AY225127	Macrolide	Macrolide	Macrolide	1497	lsa(A)_1
aac(6_)-Ii_1_L12710	Aminoglycoside	Aminoglycoside	Aminoglycoside	549	aac(6_)-Ii_1
tet(O/W)-1_1_AY485126	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/W)-1_1
tet(C)_3_AF055345	Tetracycline	Tetracycline	Tetracycline	1191	tet(C)_3
dfrA1_8_X00926	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA1_8
aadA1_5_JX185132	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA1_5
tet(M)_4_X75073	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_4
erm(B)_11_M19270	Macrolide	Macrolide	Macrolide	738	erm(B)_11
sal(A)_1_KC693025	Macrolide	Macrolide	Macrolide	1626	sal(A)_1
aph(6)-Id_4_CP000971	Aminoglycoside	Aminoglycoside	Aminoglycoside	831	aph(6)-Id_4
blaTEM-15_1_AM849805	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-15_1
sul2_2_AY034138	Sulphonamide	Sulphonamide	Sulphonamide	816	sul2_2
tet(O/W/O)-2_1_AY196920	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/W/O)-2_1
tet(B)_2_AF326777	Tetracycline	Tetracycline	Tetracycline	1206	tet(B)_2
cepA_6_FR688022	Beta-Lactam	Beta-Lactam	Beta-Lactam	903	cepA_6
mph(C)_2_AF167161	Macrolide	Macrolide	Macrolide	900	mph(C)_2
aadD_2_M19465	Aminoglycoside	Aminoglycoside	Aminoglycoside	762	aadD_2
mecA_1_NC_002745	Beta-Lactam	Beta-Lactam	Beta-Lactam	2007	mecA_1_NC
erm(X)_4_NC_005206	Macrolide	Macrolide	Macrolide	855	erm(X)_4_NC
dfrA1_11_AJ419168	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA1_11
aph(3_)-Ia_7_X62115	Aminoglycoside	Aminoglycoside	Aminoglycoside	816	aph(3_)-Ia_7
lnu(F)_3_AJ561197	Macrolide	Macrolide	Macrolide	822	lnu(F)_3
tet(O/W)_1_AM889118	Tetracycline	Tetracycline	Tetracycline	1889	tet(O/W)_1
msr(A)_2_AB013298	Macrolide	Macrolide	Macrolide	1467	msr(A)_2
cmx_1_U85507	Phenicol	Phenicol	Phenicol	1176	cmx_1
catA1_1_V00622	Phenicol	Phenicol	Phenicol	660	catA1_1
dfrA8_1_U10186	Trimethoprim	Trimethoprim	Trimethoprim	510	dfrA8_1
blaIMP-33_1_JN848782	Beta-Lactam	Beta-Lactam	Beta-Lactam	741	blaIMP-33_1
blaOXA-490_1_KU721147	Beta-Lactam	Beta-Lactam	Beta-Lactam	762	blaOXA-490_1
blaOXA-61_1_AY587956	Beta-Lactam	Beta-Lactam	Beta-Lactam	774	blaOXA-61_1
catP_1_U15027	Phenicol	Phenicol	Phenicol	624	catP_1
erm(F)_4_M62487	Macrolide	Macrolide	Macrolide	801	erm(F)_4
aph(2__)-If_1_KF652097	Aminoglycoside	Aminoglycoside	Aminoglycoside	891	aph(2__)-If_1
blaOXA-470_1_KR182163	Beta-Lactam	Beta-Lactam	Beta-Lactam	810	blaOXA-470_1
tet(X)_3_AB097942	Tetracycline	Tetracycline	Tetracycline	1137	tet(X)_3
lnu(B)_1_AJ238249	Macrolide	Macrolide	Macrolide	804	lnu(B)_1
blaOXA-185_1_JQ396379	Beta-Lactam	Beta-Lactam	Beta-Lactam	747	blaOXA-185_1
VanGXY_1_AY271782	Vancomycin	Other	Vancomycin	1811	VanGXY_1
tet(M)_1_X92947	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_1
tet(O/W/32/O/W/O)_1_DQ525023	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/W/32/O/W/O)_1
erm(Y)_1_AB014481	Macrolide	Macrolide	Macrolide	735	erm(Y)_1
blaIMP-35_1_JF816544	Beta-Lactam	Beta-Lactam	Beta-Lactam	741	blaIMP-35_1
catS_1_X74948	Phenicol	Phenicol	Phenicol	492	catS_1
catB2_1_AF047479	Phenicol	Phenicol	Phenicol	633	catB2_1
blaOXA-453_1_KR061507	Beta-Lactam	Beta-Lactam	Beta-Lactam	774	blaOXA-453_1
tet(T)_2_AY660530	Tetracycline	Tetracycline	Tetracycline	1956	tet(T)_2
tet(H)_3_Y15510	Tetracycline	Tetracycline	Tetracycline	1203	tet(H)_3
ant(9)-Ia_2_M69221	Aminoglycoside	Aminoglycoside	Aminoglycoside	768	ant(9)-Ia_2
tet(36)_1_AJ514254	Tetracycline	Tetracycline	Tetracycline	1923	tet(36)_1
erm(47)_1_KU612222	Macrolide	Macrolide	Macrolide	741	erm(47)_1
rmtH_1_KC544262	Aminoglycoside	Aminoglycoside	Aminoglycoside	759	rmtH_1
aadA15_1_DQ393783	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA15_1
aac(6_)-Iih_1_AJ584701	Aminoglycoside	Aminoglycoside	Aminoglycoside	552	aac(6_)-Iih_1
cfiA1_1_AB087225	Beta-Lactam	Beta-Lactam	Beta-Lactam	750	cfiA1_1
mph(C)_1_AB013298	Macrolide	Macrolide	Macrolide	900	mph(C)_1
cat_1_M11587	Phenicol	Phenicol	Phenicol	654	cat_1
dfrA15_2_AF221900	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA15_2
blaZ_78_KU607301	Beta-Lactam	Beta-Lactam	Beta-Lactam	888	blaZ_78
aadA8b_1_AY139603	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA8b_1
dfrG_1_AB205645	Trimethoprim	Trimethoprim	Trimethoprim	498	dfrG_1
tet(L)_8_AY081910	Tetracycline	Tetracycline	Tetracycline	1377	tet(L)_8
blaTEM-1C_1_FJ560503	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-1C_1
aac(3)-IV_1_DQ241380	Aminoglycoside	Aminoglycoside	Aminoglycoside	777	aac(3)-IV_1
aadA24_1_AM711129	Aminoglycoside	Aminoglycoside	Aminoglycoside	780	aadA24_1_AM
blaTEM-209_1_KF240808	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-209_1
aadA6_1_AF140629	Aminoglycoside	Aminoglycoside	Aminoglycoside	846	aadA6_1
cat(pC233)_1_AY355285	Phenicol	Phenicol	Phenicol	648	cat(pC233)_1
erm(T)_4_AJ488494	Macrolide	Macrolide	Macrolide	738	erm(T)_4
blaTEM-47_1_Y10279	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-47_1
erm(B)_26_AF080450	Macrolide	Macrolide	Macrolide	753	erm(B)_26
blaTEM-1D_1_AF188200	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-1D_1
tet(M)_3_U08812	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_3
erm(C)_13_M13761	Macrolide	Macrolide	Macrolide	735	erm(C)_13
msr(C)_1_AY004350	Macrolide	Macrolide	Macrolide	1479	msr(C)_1
dfrA1_9_AJ238350	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA1_9
aadA9_1_AJ420072	Aminoglycoside	Aminoglycoside	Aminoglycoside	837	aadA9_1
tet(M)_11_JN846696	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_11
tet(M)_5_U58985	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_5
tet(M)_12_FR671418	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_12
aph(2__)-Ia_2_AP009486	Aminoglycoside	Aminoglycoside	Aminoglycoside	1476	aph(2__)-Ia_2
aadA11_2_AJ567827	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA11_2
aadA12_1_AY665771	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA12_1
tet(S/M)_1_HM367711	Tetracycline	Tetracycline	Tetracycline	1935	tet(S/M)_1
aadA5_1_AF137361	Aminoglycoside	Aminoglycoside	Aminoglycoside	789	aadA5_1
mecA_2_NC_002951	Beta-Lactam	Beta-Lactam	Beta-Lactam	2007	mecA_2_NC
qnrB19_1_EU432277	Quinolone	Quinolone	Quinolone	645	qnrB19_1
cepA_1_L13472	Beta-Lactam	Beta-Lactam	Beta-Lactam	903	cepA_1_L1
aph(3__)-Ib_2_AF024602	Aminoglycoside	Aminoglycoside	Aminoglycoside	804	aph(3__)-Ib_2
erm(A)_1_X03216	Macrolide	Macrolide	Macrolide	732	erm(A)_1
aadE-Cc_1_CP013733	Aminoglycoside	Aminoglycoside	Aminoglycoside	900	aadE-Cc_1
lnu(F)_1_EU118119	Macrolide	Macrolide	Macrolide	822	lnu(F)_1
sul1_9_AY963803	Sulphonamide	Sulphonamide	Sulphonamide	852	sul1_9
VanHAX_2_M97297	Vancomycin	Other	Vancomycin	2607	VanHAX_2
